modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_clases_presentes_train,clase_codificada,clase,frecuencia_train,peso_clase,peso_aplicado,estrategia,formula,calculado_solo_con_train
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,2,Envero / maduración,203,0.8571428571428571,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,3,Floración,72,2.4166666666666665,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,4,Senescencia / caída de hojas,233,0.7467811158798283,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,0,Brotación / desarrollo foliar,178,0.8303370786516854,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,1,Cosecha / post-cosecha,158,0.9354430379746835,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,2,Envero / maduración,197,0.750253807106599,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,3,Floración,16,9.2375,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,4,Senescencia / caída de hojas,190,0.7778947368421053,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,0,Brotación / desarrollo foliar,178,0.8303370786516854,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,1,Cosecha / post-cosecha,158,0.9354430379746835,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,2,Envero / maduración,197,0.750253807106599,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,3,Floración,16,9.2375,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,5,4,Senescencia / caída de hojas,190,0.7778947368421053,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,0,Brotación / desarrollo foliar,236,0.826271186440678,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,1,Cosecha / post-cosecha,171,1.1403508771929824,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,2,Envero / maduración,234,0.8333333333333334,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,3,Floración,72,2.7083333333333335,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,4,Senescencia / caída de hojas,262,0.7442748091603053,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,0,Brotación / desarrollo foliar,236,0.826271186440678,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,1,Cosecha / post-cosecha,171,1.1403508771929824,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,2,Envero / maduración,234,0.8333333333333334,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,3,Floración,72,2.7083333333333335,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,5,4,Senescencia / caída de hojas,262,0.7442748091603053,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,0,Brotación / desarrollo foliar,210,0.8161904761904762,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,1,Cosecha / post-cosecha,157,1.09171974522293,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,2,Envero / maduración,219,0.782648401826484,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,3,Floración,56,3.0607142857142855,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,4,Senescencia / caída de hojas,215,0.7972093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,0,Brotación / desarrollo foliar,210,0.8161904761904762,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,1,Cosecha / post-cosecha,157,1.09171974522293,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,2,Envero / maduración,219,0.782648401826484,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,3,Floración,56,3.0607142857142855,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,5,4,Senescencia / caída de hojas,215,0.7972093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,0,Brotación / desarrollo foliar,112,0.9375,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,1,Cosecha / post-cosecha,91,1.1538461538461537,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,2,Envero / maduración,148,0.7094594594594594,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,3,Floración,39,2.6923076923076925,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,4,Senescencia / caída de hojas,135,0.7777777777777778,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,random_forest,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,0,Brotación / desarrollo foliar,112,0.9375,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
aprima,aleatoria,random_forest,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,5,1,Cosecha / post-cosecha,91,1.1538461538461537,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
